user_a_name,user_a_city,user_a_intent,user_b_name,user_b_city,user_b_intent,matchPercentage,totalScore,breakdown_setup1,breakdown_setup2,breakdown_setup3,breakdown_setup4
Kaan Kilic,Izmir,not_sure_yet,Naz Yilmaz,Izmir,not_sure_yet,24,86,0,15,18,53
Kaan Kilic,Izmir,not_sure_yet,Zeynep Yilmaz,Izmir,not_sure_yet,21,75,-5,15,75,-10
Kaan Kilic,Izmir,not_sure_yet,Merve Demir,Izmir,not_sure_yet,-1,-5,-5,15,-5,-10
Kaan Kilic,Izmir,not_sure_yet,Lara Koc,Izmir,not_sure_yet,33,118,5,15,18,80
Kaan Kilic,Izmir,not_sure_yet,Zeynep Kaya,Izmir,open_to_relationship,18,63,15,10,48,-10
Kaan Kilic,Izmir,not_sure_yet,Elif Kaya,Izmir,not_sure_yet,30,108,10,15,50,33
Kaan Kilic,Izmir,not_sure_yet,Zeynep Aslan,Izmir,just_friends,29,105,-15,10,40,70
Kaan Kilic,Izmir,not_sure_yet,Merve Sahin,Izmir,not_sure_yet,1,5,5,15,-5,-10
Kaan Kilic,Izmir,not_sure_yet,Gizem Arslan,Izmir,open_to_relationship,35,126,-10,10,43,83
Kaan Kilic,Izmir,not_sure_yet,Irem Dogan,Izmir,open_to_relationship,22,78,15,10,23,30
Kaan Kilic,Izmir,not_sure_yet,Buse Koc,Izmir,not_sure_yet,19,68,15,15,-5,43
Kaan Kilic,Izmir,not_sure_yet,Merve Demir,Izmir,not_sure_yet,5,18,-10,15,23,-10
Kaan Kilic,Izmir,not_sure_yet,Gizem Aslan,Izmir,keeping_it_casual,26,95,5,10,-5,85
Kaan Kilic,Izmir,not_sure_yet,Asli Aksoy,Izmir,just_friends,33,120,0,10,80,30
Kaan Kilic,Izmir,not_sure_yet,Pelin Erdogan,Izmir,keeping_it_casual,36,130,-5,10,55,70
Kaan Kilic,Izmir,not_sure_yet,Naz Sahin,Izmir,open_to_relationship,32,115,15,10,50,40
Kaan Kilic,Izmir,not_sure_yet,Asli Aydin,Izmir,just_friends,14,50,5,10,45,-10
Kaan Kilic,Izmir,not_sure_yet,Aylin Celik,Izmir,not_sure_yet,21,75,15,15,55,-10
Kaan Kilic,Izmir,not_sure_yet,Irem Dogan,Izmir,not_sure_yet,22,78,5,15,-5,63
Kaan Kilic,Izmir,not_sure_yet,Tugce Polat,Izmir,not_sure_yet,8,28,0,15,23,-10
Naz Yilmaz,Izmir,not_sure_yet,Arda Karaca,Izmir,not_sure_yet,12,43,-10,15,48,-10
Naz Yilmaz,Izmir,not_sure_yet,Ahmet Aslan,Izmir,not_sure_yet,35,125,-10,15,60,60
Naz Yilmaz,Izmir,not_sure_yet,Elif Kaya,Izmir,not_sure_yet,26,93,0,15,18,60
Naz Yilmaz,Izmir,not_sure_yet,Onur Polat,Izmir,not_sure_yet,16,58,0,15,-5,48
Naz Yilmaz,Izmir,not_sure_yet,Serkan Yilmaz,Izmir,not_sure_yet,25,90,0,15,10,65
Naz Yilmaz,Izmir,not_sure_yet,Zeynep Aslan,Izmir,just_friends,24,86,0,10,18,58
Naz Yilmaz,Izmir,not_sure_yet,Mehmet Aslan,Izmir,not_sure_yet,14,50,0,15,5,30
Naz Yilmaz,Izmir,not_sure_yet,Can Yilmaz,Izmir,open_to_relationship,6,23,0,10,23,-10
Naz Yilmaz,Izmir,not_sure_yet,Buse Koc,Izmir,not_sure_yet,19,70,0,15,-5,60
Naz Yilmaz,Izmir,not_sure_yet,Ilke Dogan,Izmir,keeping_it_casual,24,88,-10,10,25,63
Naz Yilmaz,Izmir,not_sure_yet,Serkan Dogan,Izmir,just_friends,9,33,0,10,33,-10
Naz Yilmaz,Izmir,not_sure_yet,Mehmet Arslan,Izmir,just_friends,5,18,0,10,18,-10
Naz Yilmaz,Izmir,not_sure_yet,Eren Aksoy,Izmir,open_to_relationship,10,35,-10,10,45,-10
Naz Yilmaz,Izmir,not_sure_yet,Irem Dogan,Izmir,not_sure_yet,19,70,-10,15,-5,70
Naz Yilmaz,Izmir,not_sure_yet,Kaan Kaya,Izmir,open_to_relationship,20,71,-10,10,3,68
Naz Yilmaz,Izmir,not_sure_yet,Kerem Polat,Izmir,just_friends,14,51,-20,10,28,33
